==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 293501
  Task Name   : large-2023
  Dataset     : Datasets/cdcl_dimacs/large/cnfs/2023
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Timeout     : 5000s
  Nodes       : 12  (32 cpus/node)
  Total Files : 296
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
 82 48ac8814180bdc90bf96a4caea64dae2-intervals...   2478   56767 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 83 a09a2d7397732447bdcc9651973767b7-TableSymM...   9090  110055 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 84 6e5efd19744842d1fa5415173bffbf6b-tseitin_d... 270000  720000 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 85 d89f0a7a08f9b60579b26b01e2196394-intervals...   2348   51402 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 86 0945c95ba9b82c32d12fc9d9e5229c5a-SC23_Time... 248145  803289 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 87 1a20649a8c79d6675d934cec271d573f-tseitin_g...  19800   78408 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 88 33bcf82677b7fdacf18dd48892596a1d-Timetable... 378430 2649518 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 89 fdfcd52a21824b7181d66672f283ba04-instance_...   7278   63935     SAT     SAT      1415.1s       2.057s     OK
 90 da43a3ef0ef5d34143e765d480dedc7a-DivU_624_...    624  612150   UNSAT   UNSAT      1923.6s       153.1s     OK
 91 1a6a635f5b959e191ec705b2f236568a-square.2....  42387  183641 TIMEOUT   UNSAT      5000.0s       2.485s    N/A
 92 70af2c3bfd44bcf9baa2a9605f4a17fe-gensys-ic...   1444    7479 TIMEOUT   UNSAT      5000.0s       109.7s    N/A
