/opt/gridview/slurm/spool/slurmd/job289967/slurm_script: line 16: module: command not found
==========================================================================================
  SAT Solver Benchmark: CDCLSolver vs MiniSat (Parallel)
==========================================================================================
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Dataset     : Datasets/cdcl_dimacs/large/cnfs (356 files)
  Timeout     : 300s
  Workers     : 32
==========================================================================================

[INFO] Submitting 356 instances ...
  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
 60 20be6aa61af15fd53b4c48eb3f2f3319-27_1.cnf       4448   14880 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 58 1f215812371f0c428eb1f1e51f9f23d7-20_2.cnf       3328   11072 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 56 1d1af993697599892804df5878d58979-brent_69_...  82539  366687 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 54 1b86f59ce4c43f19f0ad1238f8c362b4-PRP_30_37... 172792 1032660 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 59 1f6cf91464c6a19022144774b162a3cc-ER_500_30...   1002  113965 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 66 22d0a2fdc65d884c2bbde56af9feba4a-intervals...   2379   52032 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 63 21667cf04beae213adbab0d48408a7e4-satcoin-g... 134781  648806 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 64 21bde0ebb111c637a1ae8789827b0b73-WCNF_from...    572   12199 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 67 23c4e178c94c0dff82ea6c87abed7ecc-rphp_p60_...   7200  214350 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 70/356
 68 246afd75cb97a21144f368c00252a656-BZ2File_w...    176    1149 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 78 28f29fe949422ec88892e18073de065c-5col100_1...    300    4059 TIMEOUT   UNSAT       300.0s      53.912s    N/A
104 36c342091848d5d6a1a8eeb3a8b49b86-rovers1_k...    439    5423     SAT     SAT       29.9ms       30.6ms     OK
 71 2537f10a45d7ab430334dc1de6bfbdf0-SC23_Time... 250679  813258 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 72 25b7a69d04a5029cf4ba2f483b5bec45-asconhash... 158664  373158 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 73 26114429758a203d651f4df87c94de4c-sgen1-uns...   7009   13996 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 80 291c2b4fa2d8b009cd2a8331891ba667-PRP_30_40... 186658 1117278 TIMEOUT     SAT       300.0s       160.1s    N/A
 74 262009b8df6350761c7dfc8761f0af79-intervals...   2449   52709 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
100 358fa8d20aa467c7e9b9bf34f73d1dc9-patat-08-...  78774 1618778 TIMEOUT     SAT       300.0s      33.454s    N/A
 75 2722f39c27dc45a989bb52761ed52e50-31_1.cnf       5088   17056 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 80/356
 76 275d36e3f246990dccd094e5e1442ba9-WS_500_32...   1000   25001 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 79 2902c241b2196f5fd914509fdc124ba7-REGRandom...  10240 3306240 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 81 29bab0de14e56e526be9683131005cb2-stb_588_1...   1176   13650 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 82 29e101b66dfddb440e974b9feec5b1aa-spg_200_3... 321487 1576009 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 84 2a4680a801ad32ab8768030250daf0c8-ER_500_10...   1002   38878 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 88 2d0c041c0fe72dc32527bfbf34f63e61-170223547...    322    1127 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 87 2c9dc96b7a8b0410e64dd33f7e00a0c1-30_2.cnf       4928   16512 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 86 2b7e863462991fd008f9898eca63ebf4-SC23_Time... 248213  803227 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 95 328da7966b09b2f6e99c93c4e877fbff-sgen3-n26...    260     624 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 91 2f219dfa21d996e1834aa247f934f304-grs-192-4... 192442  568516 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 90/356
 89 2e808d215e4155379a847b146ef38b34-goldcrest... 852822 2626667 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
