==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 290866
  Total Files : 356
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
 89 c115ebeec47bb82fa7f9850a632ec94a-brent_71_...  84462  348775 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 90 18babbd2835b8a37c6299f8b0301c7c9-brent_67_...  80042  349609 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 91 27b4fe4cb0b4e2fd8327209ca5ff352c-grid_10_2...    398     741   UNSAT   UNSAT       191.8s       47.5ms     OK
 92 30e680ded3b9be6be0b5baac273f2646-asconhash... 126959  297004   UNSAT   UNSAT       525.0s       201.9s     OK
 93 fd1fbc1b090c14746a883b3a17259743-9vliw_bp_...  20093  179492   UNSAT   UNSAT      1283.6s      11.287s     OK
 94 0297c2a35f116ffd5382aea5b421e6df-Urquhart-...     45     376 TIMEOUT   UNSAT      5000.0s      21.765s    N/A
 95 f02379d63678798e38dcc52b043cc51d-asconhash... 158745  373210 TIMEOUT     SAT      5000.0s       107.9s    N/A
 96 4ffb80a0ad8b753fee1492101ffcbdbb-REGRandom...   4608  825728 TIMEOUT   UNSAT      5000.0s       122.5s    N/A
 97 20cae5fe475d571da703f89d5da4bb8f-grs-96-32...  75802  223028 TIMEOUT   UNSAT      5000.0s       187.4s    N/A
 98 b44611ea7852dd30215cc1cb09e1ab79-PRP_30_39... 182106 1088662 TIMEOUT     SAT      5000.0s       198.8s    N/A
 99 711ff7681711949f44b07a0d530dc729-asconhash... 158780  373402 TIMEOUT   UNSAT      5000.0s       489.6s    N/A
100 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf      5448   15994 TIMEOUT   UNSAT      5000.0s       575.6s    N/A
101 a8dc92a9c0434576b47c82c94ab5c446-Grain_no_...   2425   48007 TIMEOUT   UNSAT      5000.0s      3320.1s    N/A
102 d17aa530bbd09452b0f32daf4ab9c8f0-tph8.cnf        136    5457 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
103 92c17c00d862668de6e6c45d4eecdc75-combined-...   1545   17584 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
104 7b4622a3ab523264378a560199de47ed-ER_400_20...    802   49552 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
105 c1324a6876269ee93890e266fe214557-SCPC-800-...    800   33848 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
106 0be1e12a8e7282d1a4e389bb90f6dbc7-or_randxo...   1200    8093 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
107 8ade10da9731ce31d103c1687ff40a3d-brent_63_...  75079  319864 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
108 38833d6a1ff6a56ef22bd2dc1e3fdde7-rbsat-v11...   1150   84314 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
109 4380f8ed143d97a65f8888b2feeddb80-intervals...   2331   49442 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
